Drawing ID,File Name,Category ID,Category Name,PDF Path,Pages,Drawing Type,Source,Status
DR001,5-1307-137_F_RJY.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\5-1307-137_F_RJY.pdf,,,,Pending
DR002,5-3552-11_A_COMBINE RJY.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\5-3552-11_A_COMBINE RJY.pdf,,,,Pending
DR003,5-3552-12_COMBINE RJY.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\5-3552-12_COMBINE RJY.pdf,,,,Pending
DR004,5-3552-12_COMBINE.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\5-3552-12_COMBINE.pdf,,,,Pending
DR005,5-3553-21_C_redlines_A_.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\5-3553-21_C_redlines_A_.pdf,,,,Pending
DR006,5-3553-22_C_redlines_A_.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\5-3553-22_C_redlines_A_.pdf,,,,Pending
DR007,5-3553-36 & 37 2026-07-21 RJY.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\5-3553-36 & 37 2026-07-21 RJY.pdf,,,,Pending
DR008,54719-24_COMBINE_Comments.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\54719-24_COMBINE_Comments.pdf,,,,Pending
DR009,54725-29 CIP SKID PANEL COMMENTS.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\54725-29 CIP SKID PANEL COMMENTS.pdf,,,,Pending
DR010,54725-29-L1-20001-Model.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\54725-29-L1-20001-Model.pdf,,,,Pending
DR011,55141-32_combined RJY.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\55141-32_combined RJY.pdf,,,,Pending
DR012,55891-03-3505-823_A_.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\55891-03-3505-823_A_.pdf,,,,Pending
DR013,55891-03-3552-11_A_.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\55891-03-3552-11_A_.pdf,,,,Pending
DR014,55891-03-3552-12_A_.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\55891-03-3552-12_A_.pdf,,,,Pending
DR015,55905-01_Combine_TJD Comments.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\55905-01_Combine_TJD Comments.pdf,,,,Pending
DR016,CP-100_COMBINE ALL_VLAD REPLY.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\CP-100_COMBINE ALL_VLAD REPLY.pdf,,,,Pending
DR017,D-54725-29-L1-20001_COMBINE ALL.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\D-54725-29-L1-20001_COMBINE ALL.pdf,,,,Pending
DR018,E-54725-29-C0-26001_26010_UF FEED PUMP SKID.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\E-54725-29-C0-26001_26010_UF FEED PUMP SKID.pdf,,,,Pending
DR019,E-54725-29-C0-26301.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\E-54725-29-C0-26301.pdf,,,,Pending
DR020,E-54725-29-C0-26403.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\E-54725-29-C0-26403.pdf,,,,Pending
DR021,E-54725-29-C0-26404.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\E-54725-29-C0-26404.pdf,,,,Pending
DR022,E-54725-29-C0_COMBINE.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\E-54725-29-C0_COMBINE.pdf,,,,Pending
DR023,E-54880-13-XXX.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\E-54880-13-XXX.pdf,,,,Pending
DR024,E-55141-32-002_A_RJY redlines.pdf,1,Electrical Engineering,raw_drawings\Electrical Engineering\E-55141-32-002_A_RJY redlines.pdf,,,,Pending
